Country,Year,Activity_,RMovement
SOUTH AFRICA,1984,spearfishing,1
AUSTRALIA,2005,spearfishing,1
PAPUA NEW GUINEA,1967,spearfishing,1
BAHAMAS,1958,spearfishing,1
AUSTRALIA,1967,spearfishing,1
SOUTH AFRICA,1998,spearfishing,1
PAPUA NEW GUINEA,1956,spearfishing,1
BAHAMAS,1998,spearfishing,1
USA,1998,spearfishing,1
PAPUA NEW GUINEA,1956,spearfishing,1
TURKEY,1967,spearfishing,1
TURKS & CAICOS,2011,spearfishing,1
COLUMBIA,2011,spearfishing,1
SENEGAL,1998,spearfishing,1
AUSTRALIA,1959,spearfishing,1
BAHAMAS,2006,spearfishing,1
BAHAMAS,2009,spearfishing,1
PAPUA NEW GUINEA,1960,spearfishing,1
SOUTH AFRICA,1979,spearfishing,1
GUAM,2009,spearfishing,1
SOUTH AFRICA,1990,spearfishing,1
PORTUGAL,1979,spearfishing,1
TONGA,1980,spearfishing,1
BAHAMAS,2009,spearfishing,1
PAPUA NEW GUINEA,1962,spearfishing,1
SOUTH AFRICA,1988,spearfishing,1
BAHAMAS,1990,spearfishing,1
PAPUA NEW GUINEA,1955,spearfishing,1
PAPUA NEW GUINEA,1962,spearfishing,1
AUSTRALIA,2018,spearfishing,1
UNITED ARAB EMIRATES,2017,spearfishing,1
NEW CALEDONIA,2002,spearfishing,1
NEW CALEDONIA,2018,spearfishing,1
PANAMA,1960,spearfishing,1
MOZAMBIQUE,2009,spearfishing,1
SOUTH AFRICA,1978,spearfishing,1
FRENCH POLYNESIA,2012,spearfishing,1
SOUTH AFRICA,1991,spearfishing,1
JAMAICA,2013,spearfishing,1
AUSTRALIA,2013,spearfishing,1
FRENCH POLYNESIA,2016,spearfishing,1
BAHAMAS,1989,spearfishing,1
CUBA,1954,spearfishing,1
NEW ZEALAND,2013,spearfishing,1
CUBA,1954,spearfishing,1
AUSTRALIA,1961,spearfishing,1
ITALY,1954,spearfishing,1
AUSTRALIA,2013,spearfishing,1
FRENCH POLYNESIA,2016,spearfishing,1
USA,1989,spearfishing,1
SOUTH AFRICA,1961,spearfishing,1
COLUMBIA,1955,spearfishing,1
KENYA,1980,spearfishing,1
SOUTH AFRICA,2008,spearfishing,1
AUSTRALIA,1961,spearfishing,1
AUSTRALIA,1960,spearfishing,1
BAHAMAS,2008,spearfishing,1
AUSTRALIA,2014,spearfishing,1
BAHAMAS,2003,spearfishing,1
BERMUDA,1961,spearfishing,1
REUNION,1980,spearfishing,1
USA,1954,spearfishing,1
AUSTRALIA,1954,spearfishing,1
ITALY,1961,spearfishing,1
BAHAMAS,2003,spearfishing,1
SOUTH AFRICA,1977,spearfishing,1
AUSTRALIA,1960,spearfishing,1
FEDERATED STATES OF MICRONESIA,1963,spearfishing,1
PAPUA NEW GUINEA,1952,spearfishing,1
SUDAN,1952,spearfishing,1
BELIZE,2006,spearfishing,1
AUSTRALIA,2004,spearfishing,1
SOUTH AFRICA,1963,spearfishing,1
PAPUA NEW GUINEA,1952,spearfishing,1
SOUTH AFRICA,2006,spearfishing,1
BAHAMAS,2015,spearfishing,1
GUAM,2010,spearfishing,1
SOUTH AFRICA,1987,spearfishing,1
NEW BRITAIN,1963,spearfishing,1
TONGA,1993,spearfishing,1
SRI LANKA,1960,spearfishing,1
BAHAMAS,2013,spearfishing,1
GRENADA,1960,spearfishing,1
FIJI,1963,spearfishing,1
BAHAMAS,2001,spearfishing,1
SOUTH AFRICA,2016,spearfishing,1
USA,1952,spearfishing,1
AUSTRALIA,2016,spearfishing,1
SOUTH AFRICA,1983,spearfishing,1
FRENCH POLYNESIA,1951,spearfishing,1
BRITISH WEST INDIES,1962,spearfishing,1
BAHAMAS,1982,spearfishing,1
ITALY,1962,spearfishing,1
REUNION,1992,spearfishing,1
FIJI,1964,spearfishing,1
VENEZUELA,2004,spearfishing,1
PAPUA NEW GUINEA,1960,spearfishing,1
BAHAMAS,2001,spearfishing,1
PAPUA NEW GUINEA,1965,spearing,1
FIJI,1963,spearing,1
BAHAMAS,1948,spearing,1
SOLOMON ISLANDS,1963,spearing,1
AUSTRALIA,1934,splashing,1
AUSTRALIA,1946,standing,1
SOUTH AFRICA,1977,standing,1
USA,1980,standing,1
JAMAICA,1922,standing,1
MOZAMBIQUE,1972,standing,1
SOUTH AFRICA,1961,standing,1
BAHAMAS,2002,standing,1
PANAMA,1964,standing,1
USA,1959,standing,1
USA,2014,standing,1
PAPUA NEW GUINEA,2000,standing,1
SOUTH AFRICA,2005,standing,1
USA,2018,standing,1
AUSTRALIA,1920,standing,1
ST. MAARTIN,2005,standing,1
SOUTH AFRICA,2006,surf-skiing,2
SOUTH AFRICA,2016,surf-skiing,2
AUSTRALIA,1991,surf-skiing,2
SOUTH AFRICA,2005,surf-skiing,2
AUSTRALIA,1997,surf-skiing,2
SOUTH AFRICA,2009,surfing,2
TRINIDAD & TOBAGO,1938,surfing,2
USA,1980,surfing,2
AUSTRALIA,2012,surfing,2
USA,1979,surfing,2
SOUTH AFRICA,2009,surfing,2
USA,1984,surfing,2
AUSTRALIA,2012,surfing,2
REUNION,2012,surfing,2
MEXICO,1980,surfing,2
SOUTH AFRICA,2013,surfing,2
AUSTRALIA,2013,surfing,2
NEW CALEDONIA,2009,surfing,2
USA,1983,surfing,2
USA,2014,surfing,2
SOUTH AFRICA,2015,surfing,2
JAPAN,2014,surfing,2
AUSTRALIA,2013,surfing,2
USA,2013,surfing,2
SOUTH AFRICA,2014,surfing,2
SOUTH AFRICA,1984,surfing,2
REUNION,2014,surfing,2
AUSTRALIA,2015,surfing,2
ECUADOR,2013,surfing,2
AUSTRALIA,2012,surfing,2
PAPUA NEW GUINEA,2011,surfing,2
SOUTH AFRICA,2011,surfing,2
MEXICO,1972,surfing,2
SOUTH AFRICA,2015,surfing,2
AUSTRALIA,2010,surfing,2
USA,2011,surfing,2
USA,1974,surfing,2
USA,2011,surfing,2
USA,2011,surfing,2
SOUTH AFRICA,2011,surfing,2
REUNION,2015,surfing,2
INDONESIA,2011,surfing,2
REUNION,2011,surfing,2
SOUTH AFRICA,1967,surfing,2
MEXICO,1971,surfing,2
BRAZIL,2015,surfing,2
REUNION,2011,surfing,2
USA,2010,surfing,2
USA,2010,surfing,2
AUSTRALIA,2015,surfing,2
BRAZIL,2011,surfing,2
COSTA RICA,2011,surfing,2
REUNION,2015,surfing,2
SOUTH AFRICA,2010,surfing,2
BAHAMAS,2010,surfing,2
AUSTRALIA,2010,surfing,2
SOUTH AFRICA,1971,surfing,2
SCOTLAND,2011,surfing,2
REUNION,2015,surfing,2
UNITED ARAB EMIRATES (UAE),2010,surfing,2
AUSTRALIA,1963,surfing,2
USA,1976,surfing,2
CANADA,2012,surfing,2
COSTA RICA,2015,surfing,2
SOUTH AFRICA,2012,surfing,2
AUSTRALIA,2014,surfing,2
AUSTRALIA,2010,surfing,2
AUSTRALIA,1964,surfing,2
INDONESIA,2011,surfing,2
AUSTRALIA,2014,surfing,2
BRAZIL,2011,surfing,2
BRAZIL,2010,surfing,2
USA,2012,surfing,2
REUNION,2010,surfing,2
ECUADOR,2011,surfing,2
BRAZIL,1998,surfing,2
REUNION,2000,surfing,2
SOUTH AFRICA,2017,surfing,2
OKINAWA,2000,surfing,2
AUSTRALIA,2017,surfing,2
BRAZIL,1999,surfing,2
SOUTH AFRICA,2000,surfing,2
USA,2006,surfing,2
SOUTH AFRICA,2006,surfing,2
USA,2006,surfing,2
MEXICO,2001,surfing,2
REUNION,2006,surfing,2
UNITED KINGDOM,2017,surfing,2
MOZAMBIQUE,1998,surfing,2
USA,1998,surfing,2
USA,2016,surfing,2
BRAZIL,1999,surfing,2
INDONESIA,2017,surfing,2
SOUTH AFRICA,1999,surfing,2
NEW CALEDONIA,2007,surfing,2
SOUTH AFRICA,1998,surfing,2
SOUTH AFRICA,1998,surfing,2
BRAZIL,1998,surfing,2
USA,1998,surfing,2
SOUTH AFRICA,2006,surfing,2
USA,2017,surfing,2
SOUTH AFRICA,2004,surfing,2
BAHAMAS,2018,surfing,2
AUSTRALIA,2018,surfing,2
AUSTRALIA,2018,surfing,2
USA,2005,surfing,2
AUSTRALIA,2018,surfing,2
AUSTRALIA,2018,surfing,2
AUSTRALIA,2004,surfing,2
REUNION,2004,surfing,2
BRAZIL,2018,surfing,2
FIJI,2006,surfing,2
URUGUAY,2004,surfing,2
NEW ZEALAND,2004,surfing,2
AUSTRALIA,2005,surfing,2
AUSTRALIA,2018,surfing,2
SOUTH AFRICA,2005,surfing,2
USA,2004,surfing,2
BRAZIL,2005,surfing,2
BRAZIL,2002,surfing,2
SPAIN,2017,surfing,2
JAPAN,2017,surfing,2
COSTA RICA,2002,surfing,2
USA,2006,surfing,2
MEXICO,2001,surfing,2
AUSTRALIA,2001,surfing,2
BRAZIL,2002,surfing,2
"ST HELENA, British overseas territory",2017,surfing,2
BRAZIL,2003,surfing,2
BRAZIL,2006,surfing,2
AUSTRALIA,2017,surfing,2
BRAZIL,2002,surfing,2
AUSTRALIA,2003,surfing,2
COSTA RICA,2003,surfing,2
VENEZUELA,2003,surfing,2
USA,1993,surfing,2
USA,1992,surfing,2
USA,1992,surfing,2
MEXICO,2008,surfing,2
REUNION,1992,surfing,2
REUNION,1992,surfing,2
ECUADOR,2007,surfing,2
BRAZIL,1994,surfing,2
SOUTH AFRICA,1987,surfing,2
EL SALVADOR,1993,surfing,2
SOUTH AFRICA,2007,surfing,2
BRAZIL,2008,surfing,2
SOUTH AFRICA,1989,surfing,2
INDONESIA,2016,surfing,2
REUNION,1990,surfing,2
USA,1989,surfing,2
AUSTRALIA,2016,surfing,2
REUNION,1991,surfing,2
SOUTH AFRICA,1996,surfing,2
USA,1991,surfing,2
USA,1988,surfing,2
MEXICO,2008,surfing,2
MEXICO,2008,surfing,2
MEXICO,2008,surfing,2
EL SALVADOR,1993,surfing,2
REUNION,1996,surfing,2
BRAZIL,1995,surfing,2
NEW CALEDONIA,2016,surfing,2
ECUADOR,2009,surfing,2
REUNION,2016,surfing,2
BRAZIL,1995,surfing,2
USA,1994,surfing,2
BRAZIL,1994,surfing,2
JAPAN,2016,surfing,2
AUSTRALIA,1987,surfing,2
NEW CALEDONIA,2016,surfing,2
AUSTRALIA,1937,swimming,2
CAPE VERDE,1932,swimming,2
CROATIA,1935,swimming,2
USA,2014,swimming,2
BERMUDA,1954,swimming,2
SPAIN,2015,swimming,2
MONTENEGRO,1955,swimming,2
USA,1934,swimming,2
AMERICAN SAMOA,1955,swimming,2
BRAZIL,2016,swimming,2
CROATIA,1955,swimming,2
BAHAMAS,2018,swimming,2
THAILAND,2018,swimming,2
PAPUA NEW GUINEA,1955,swimming,2
USA,1956,swimming,2
GREECE,1956,swimming,2
CROATIA,1934,swimming,2
AMERICAN SAMOA,1954,swimming,2
BRAZIL,2018,swimming,2
BRAZIL,2016,swimming,2
PANAMA,1937,swimming,2
MALTA,1956,swimming,2
PAPUA NEW GUINEA,1955,swimming,2
ITALY,1926,swimming,2
IRAN,1949,swimming,2
SOUTH AFRICA,1944,swimming,2
SPAIN,2016,swimming,2
USA,1914,swimming,2
PHILIPPINES,1944,swimming,2
IRAQ,1945,swimming,2
ITALY,1949,swimming,2
SOUTH AFRICA,1927,swimming,2
PHILIPPINES,1910,swimming,2
BRAZIL,2017,swimming,2
MEXICO,1943,swimming,2
REUNION,2015,swimming,2
EGYPT,2015,swimming,2
USA,1912,swimming,2
IRAN,1945,swimming,2
USA,1948,swimming,2
USA,1923,swimming,2
AUSTRALIA,1923,swimming,2
BRAZIL,1947,swimming,2
SOUTH AFRICA,1922,swimming,2
JAMAICA,1922,swimming,2
IRAN,1948,swimming,2
GREECE,1948,swimming,2
PHILIPPINES,1921,swimming,2
AUSTRALIA,2015,swimming,2
PAPUA NEW GUINEA,1925,swimming,2
IRAN,1946,swimming,2
AUSTRALIA,1948,swimming,2
SOUTH AFRICA,1908,swimming,2
SPAIN,2017,swimming,2
SPAIN,2017,swimming,2
IRAN,1953,swimming,2
IRAQ,1938,swimming,2
PAPUA NEW GUINEA,1954,swimming,2
SPAIN,2014,swimming,2
FIJI,1931,swimming,2
SPAIN,2015,swimming,2
JAPAN,1950,swimming,2
AUSTRALIA,1941,swimming,2
BAHAMAS,1942,swimming,2
PANAMA,1928,swimming,2
SOUTH AFRICA,1942,swimming,2
GREECE,1951,swimming,2
GREECE,1951,swimming,2
NICARAGUA,1902,swimming,2
SPAIN,1930,swimming,2
SPAIN,2017,swimming,2
SOUTH AFRICA,1900,swimming,2
EGYPT,2016,swimming,2
ITALY,1901,swimming,2
MOZAMBIQUE,1951,swimming,2
SOUTH AFRICA,1901,swimming,2
CYPRUS,1901,swimming,2
ITALY,1951,swimming,2
SOUTH AFRICA,1930,swimming,2
USA,1974,swimming,2
MEXICO,2008,swimming,2
NEW CALEDONIA,2008,swimming,2
HONG KONG,1991,swimming,2
AUSTRALIA,2008,swimming,2
BRAZIL,2008,swimming,2
AUSTRALIA,1989,swimming,2
MEXICO,2008,swimming,2
PANAMA,2008,swimming,2
VANUATU,1992,swimming,2
HONG KONG,1993,swimming,2
HONG KONG,1995,swimming,2
NEW CALEDONIA,2007,swimming,2
CHILE,1994,swimming,2
SOMALIA,1993,swimming,2
SPAIN,1993,swimming,2
HONG KONG,1993,swimming,2
EGYPT,2007,swimming,2
VANUATU,1987,swimming,2
VIETNAM,2009,swimming,2
BRAZIL,1980,swimming,2
SPAIN,2009,swimming,2
BRAZIL,1980,swimming,2
VIETNAM,2009,swimming,2
BRAZIL,2009,swimming,2
MOZAMBIQUE,2009,swimming,2
SOUTH AFRICA,1977,swimming,2
PHILIPPINES,2009,swimming,2
AUSTRALIA,2008,swimming,2
BRAZIL,2009,swimming,2
SOUTH AFRICA,1985,swimming,2
AUSTRALIA,1957,swimming,2
VANUATU,1984,swimming,2
USA,1983,swimming,2
SOUTH AFRICA,1982,swimming,2
USA,1996,swimming,2
BRAZIL,2006,swimming,2
USA,2003,swimming,2
BRAZIL,2003,swimming,2
BRAZIL,2003,swimming,2
BRAZIL,2002,swimming,2
TONGA,2002,swimming,2
BRAZIL,2002,swimming,2
USA,2002,swimming,2
INDIA,2003,swimming,2
VANUATU,2005,swimming,2
CUBA,2005,swimming,2
SOUTH AFRICA,2004,swimming,2
BRAZIL,2002,swimming,2
SOUTH AFRICA,2004,swimming,2
BRAZIL,2004,swimming,2
BRAZIL,2004,swimming,2
TONGA,2006,swimming,2
BRAZIL,2004,swimming,2
VENEZUELA,2004,swimming,2
NEW ZEALAND,2003,swimming,2
AUSTRALIA,2003,swimming,2
AUSTRALIA,2003,swimming,2
SPAIN,2006,swimming,2
AUSTRALIA,2002,swimming,2
MAURITIUS,1999,swimming,2
REUNION,1999,swimming,2
BRAZIL,1997,swimming,2
OKINAWA,1996,swimming,2
MARSHALL ISLANDS,1999,swimming,2
USA,2001,swimming,2
BAHAMAS,2001,swimming,2
BRAZIL,2001,swimming,2
CUBA,2001,swimming,2
FIJI,2000,swimming,2
MARSHALL ISLANDS,1999,swimming,2
AUSTRALIA,2000,swimming,2
TANZANIA,2000,swimming,2
USA,2000,swimming,2
USA,2000,swimming,2
AUSTRALIA,2000,swimming,2
EGYPT,2010,swimming,2
HONG KONG,1995,swimming,2
VIETNAM,2010,swimming,2
CROATIA,1961,swimming,2
AUSTRALIA,1961,swimming,2
TONGA,2012,swimming,2
PAPUA NEW GUINEA,1968,swimming,2
TURKEY,1961,swimming,2
AUSTRALIA,1968,swimming,2
PAPUA NEW GUINEA,1968,swimming,2
PAPUA NEW GUINEA,1962,swimming,2
MOZAMBIQUE,1967,swimming,2
PAPUA NEW GUINEA,1962,swimming,2
PAPUA NEW GUINEA,1966,swimming,2
BRAZIL,2011,swimming,2
NEW ZEALAND,1962,swimming,2
NEW BRITAIN,1966,swimming,2
MOZAMBIQUE,1961,swimming,2
MOZAMBIQUE,1970,swimming,2
MEXICO,1970,swimming,2
PHILIPPINES,2013,swimming,2
IRAQ,1970,swimming,2
AUSTRALIA,1969,swimming,2
MOZAMBIQUE,1961,swimming,2
MEXICO,2011,swimming,2
MOZAMBIQUE,1961,swimming,2
MEXICO,2012,swimming,2
MEXICO,2011,swimming,2
BRAZIL,2012,swimming,2
DOMINICAN REPUBLIC,1963,swimming,2
MEXICO,1965,swimming,2
MEXICO,1965,swimming,2
SOUTH AFRICA,2011,swimming,2
FIJI,1964,swimming,2
AUSTRALIA,2011,swimming,2
JAPAN,1964,swimming,2
TAIWAN,1964,swimming,2
TAIWAN,1964,swimming,2
PAPUA NEW GUINEA,1964,swimming,2
CROATIA,1966,swimming,2
GREECE,1963,swimming,2
USA,1963,swimming,2
SEYCHELLES,2011,swimming,2
TAIWAN,1966,swimming,2
MOZAMBIQUE,1962,swimming,2
PAPUA NEW GUINEA,1966,swimming,2
RUSSIA,2011,swimming,2
RUSSIA,2011,swimming,2
KENYA,2011,swimming,2
MEXICO,1962,swimming,2
MEXICO,2013,swimming,2
MOZAMBIQUE,1970,swimming,2
MOZAMBIQUE,1959,swimming,2
SOUTH AFRICA,1959,swimming,2
SOUTH KOREA,2010,swimming,2
MOZAMBIQUE,1974,swimming,2
MOZAMBIQUE,1973,swimming,2
MEXICO,1973,swimming,2
BAHAMAS,2010,swimming,2
MOZAMBIQUE,1970,swimming,2
MEXICO,1973,swimming,2
JAPAN,1959,swimming,2
SOUTH KOREA,1959,swimming,2
SOUTH AFRICA,1958,swimming,2
USA,1975,swimming,2
VIETNAM,2010,swimming,2
MOZAMBIQUE,1972,swimming,2
PAPUA NEW GUINEA,1958,swimming,2
KENYA,1958,swimming,2
SPAIN,2010,swimming,2
CROATIA,1958,swimming,2
ISRAEL,1974,swimming,2
SOUTH AFRICA,1972,swimming,2
PAPUA NEW GUINEA,1959,swimming,2
MOZAMBIQUE,1960,swimming,2
KENYA,1971,swimming,2
REUNION,2013,swimming,2
SPAIN,2013,swimming,2
CROATIA,1971,swimming,2
SOUTH AFRICA,1971,swimming,2
GRENADA,1970,swimming,2
USA,1960,swimming,2
MOZAMBIQUE,1970,swimming,2
BRAZIL,2013,swimming,2
SOUTH AFRICA,1971,swimming,2
SOUTH AFRICA,2010,swimming,2
MOZAMBIQUE,1972,swimming,2
WESTERN SAMOA,1972,swimming,2
PHILIPPINES,1959,swimming,2
MOZAMBIQUE,1959,swimming,2
MOZAMBIQUE,1972,swimming,2
BAHAMAS,2007,tagging,1
USA,2014,tagging,1
COLUMBIA,1961,taking,1
SOUTH AFRICA,1976,thrashing,1
USA,2006,touching,1
MOZAMBIQUE,1998,towing,3
SOUTH AFRICA,1972,treading,1
SOUTH AFRICA,1944,treading,1
USA,2008,treading,1
AUSTRALIA,2009,wading,1
GRENADA,1970,wading,1
SPAIN,2014,wading,1
GRENADA,1970,wading,1
USA,2004,wading,1
PANAMA,2009,wading,1
SOUTH AFRICA,2009,wading,1
FIJI,2003,wading,1
MEXICO,1973,wading,1
AUSTRALIA,2018,wading,1
THAILAND,2015,wading,1
BRAZIL,2004,wading,1
USA,2012,wading,1
AUSTRALIA,2007,wading,1
SPAIN,2016,wading,1
AUSTRALIA,1920,wading,1
AUSTRALIA,2007,wading,1
SOUTH AFRICA,1998,wading,1
MEXICO,1962,wading,1
BAHAMAS,1994,wading,1
MEXICO,1953,wading,1
NEW CALEDONIA,2016,walking,1
PALAU,1965,walking,1
USA,2013,walking,1
CROATIA,1914,washing,1
BAHAMAS,2017,washing,1
IRAQ,1970,washing,1
PAPUA NEW GUINEA,1962,washing,1
AUSTRALIA,2011,washing,1
IRAQ,1970,washing,1
SOUTH AFRICA,1964,watching,1
SOUTH AFRICA,1976,watching,1
SOLOMON ISLANDS,1942,wearing,2
ITALY,1989,windsurfing,2
MALTA,2010,windsurfing,2
REUNION,1994,windsurfing,2
AUSTRALIA,1997,windsurfing,2
SOUTH AFRICA,1983,windsurfing,2
BRAZIL,1997,windsurfing,2
NEW CALEDONIA,1998,windsurfing,2
AUSTRALIA,1959,working,3
